Date,Close
2025-12-22 15:29:59.712,26172.4
2025-12-23 15:29:59.712,26177.15
2025-12-24 15:29:59.712,26142.1
2025-12-26 15:29:59.712,26042.3
2025-12-29 15:29:59.712,25942.1
2025-12-30 15:29:59.712,25938.85
2025-12-31 15:29:59.712,26129.6
2026-01-01 15:29:59.712,26146.55
2026-01-02 15:29:59.712,26328.55
2026-01-05 15:29:59.712,26250.3
2026-01-06 15:29:59.712,26178.7
2026-01-07 15:29:59.712,26140.75
2026-01-08 15:29:59.712,25876.85
2026-01-09 15:29:59.712,25683.3
2026-01-12 15:29:59.712,25790.25
2026-01-13 15:29:59.712,25732.3
2026-01-14 15:29:59.712,25665.6
2026-01-16 15:29:59.712,25694.35
2026-01-19 15:29:59.712,25585.5
2026-01-20 15:29:59.712,25232.5
2026-01-21 15:29:59.712,25157.5
2026-01-22 15:29:59.712,25289.9
2026-01-23 15:29:59.712,25048.65
2026-01-27 15:29:59.712,25175.4
2026-01-28 15:29:59.712,25342.75
2026-01-29 15:29:59.712,25418.9
2026-01-30 15:29:59.712,25320.65
2026-02-02 15:29:59.712,25088.4
2026-02-03 15:29:59.712,25727.55
2026-02-04 15:29:59.712,25776.0
2026-02-05 15:29:59.712,25642.8
2026-02-06 15:29:59.712,25693.7
2026-02-09 15:29:59.712,25867.3
2026-02-10 15:29:59.712,25935.15
2026-02-11 15:29:59.712,25953.85
2026-02-12 15:29:59.712,25807.2
2026-02-13 15:29:59.712,25471.1
2026-02-16 15:29:59.712,25682.75
2026-02-17 15:29:59.712,25725.4
2026-02-18 15:29:59.712,25819.35
2026-02-19 15:29:59.712,25454.35
2026-02-20 15:29:59.712,25571.25
2026-02-23 15:29:59.712,25713.0
2026-02-24 15:29:59.712,25424.65
2026-02-25 15:29:59.712,25482.5
2026-02-26 15:29:59.712,25496.55
2026-02-27 15:29:59.712,25178.65
2026-03-02 15:29:59.712,24865.7
2026-03-04 15:29:59.712,24480.5
2026-03-05 15:29:59.712,24765.9
2026-03-06 15:29:59.712,24450.45
2026-03-09 15:29:59.712,24028.05
2026-03-10 15:29:59.712,24261.6
2026-03-11 15:29:59.712,23866.85
2026-03-12 15:29:59.712,23639.15
2026-03-13 15:29:59.712,23151.1
2026-03-16 15:29:59.712,23408.8
2026-03-17 15:29:59.712,23581.15
2026-03-18 15:29:59.712,23777.8
2026-03-19 15:29:59.712,23002.15
2026-03-20 15:29:59.712,23114.5
2026-03-23 15:29:59.712,22512.65
2026-03-24 15:29:59.712,22912.4
2026-03-25 15:29:59.712,23306.45
2026-03-27 15:29:59.712,22819.6
2026-03-30 15:29:59.712,22331.4
