NEAR-BULL WATCHLIST  ▸  Stocks within -5% of 200 DMA  ▸  These are your NEXT entry candidates — set price alerts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
NSE Code,CMP (₹),200 DMA,% from 200 DMA,DMA Status,CAR Signal,Sector,Priority,"Alert Price
(=200 DMA)",Notes,Signal Date
NSE:3MINDIA,30000,32397.725,-0.02,In Bear Run,Avoid/Hold,Capital Goods,CRITICAL,32360,0.02% from Bull Run threshold,
NSE:HEROMOTOCO,5060,5292.9405,-0.12,In Bear Run,Avoid/Hold,Auto,CRITICAL,5270,Near threshold — watch for Bull Run,
NSE:NYKAA,236.8,241.2169,-0.16,In Bear Run,Avoid/Hold,Retail,HIGH,240.2,Very close to 200 DMA,
NSE:SBILIFE,1780,1916.0815,-1.3,In Bear Run,Avoid/Hold,Insurance,HIGH,1915,DMA structure improving,
NSE:RELIANCE,1348.3,1447.5105,-2.42,In Bear Run,Avoid/Hold,Conglomerate,HIGH,1449,Watch for Bull Run flip,
NSE:JSWENERGY,472,507.01225,-0.32,Unconfirmed,Avoid/Hold,Power Private,HIGH,508,Very near threshold,
NSE:CGPOWER,654,690.064,-1.38,Unconfirmed,Avoid/Hold,Capital Goods,MEDIUM,691,DMA alignment still inverted,
NSE:SUPREMEIND,3740,3972.6815,-4.08,Unconfirmed,Avoid/Hold,Plastic/Pipes,MEDIUM,3987,50>100 DMA partial,
NSE:GMRAIRPORT,84.16,93.73845,-2.9,In Bear Run,Avoid/Hold,Aviation Infra,WATCH,93.7,Already in your portfolio,
NSE:AXISBANK,1168.4,1212.8075,-0.58,In Bear Run,Avoid/Hold,Banking,WATCH,1213,Very close but Bear Run,
,,,,,,,,,,
⚡ ACTION: When any of the above stocks crosses its 200 DMA and your DMA Scanner shows 'In Bull Run' → Immediately check Conviction Score. If ≥7 and Signal Age ≤3 days → ENTER on that day's close.,,,,,,,,,,
